,Stock,Fast_MA,Slow_MA,Return
27,AMICA,5,141,"-740,89918"
82,AMICA,15,31,"-744,016973"
125,AMICA,20,61,"-757,344791"
34,AMICA,5,176,"-765,044644"
21,AMICA,5,111,"-778,45215"
59,AMICA,10,106,"-794,021193"
31,AMICA,5,161,"-794,29014"
30,AMICA,5,156,"-800,037637"
62,AMICA,10,121,"-815,985198"
88,AMICA,15,61,"-821,115113"
33,AMICA,5,171,"-842,013291"
32,AMICA,5,166,"-852,671561"
89,AMICA,15,66,"-853,906725"
590,AMICA,100,106,"-855,012396"
22,AMICA,5,116,"-861,247982"
2,AMICA,5,16,"-866,248404"
29,AMICA,5,151,"-870,372258"
91,AMICA,15,76,"-878,291253"
549,AMICA,90,116,"-887,196387"
123,AMICA,20,51,"-890,543283"
57,AMICA,10,96,"-890,622971"
12,AMICA,5,66,"-912,268224"
615,AMICA,105,131,"-917,597359"
126,AMICA,20,66,"-918,872367"
570,AMICA,95,111,"-938,634991"
591,AMICA,100,111,"-952,391132"
16,AMICA,5,86,"-961,704667"
568,AMICA,95,101,"-978,309654"
595,AMICA,100,131,"-985,84017"
52,AMICA,10,71,"-989,386286"
18,AMICA,5,96,"-1001,87738"
61,AMICA,10,116,"-1012,406157"
67,AMICA,10,146,"-1024,847446"
48,AMICA,10,51,"-1036,163142"
550,AMICA,90,121,"-1037,956122"
55,AMICA,10,86,"-1057,778512"
632,AMICA,110,121,"-1060,119347"
58,AMICA,10,101,"-1065,657663"
573,AMICA,95,126,"-1071,853405"
51,AMICA,10,66,"-1076,963398"
11,AMICA,5,61,"-1081,06733"
569,AMICA,95,106,"-1087,522058"
87,AMICA,15,56,"-1089,663673"
17,AMICA,5,91,"-1099,425453"
63,AMICA,10,126,"-1103,768449"
49,AMICA,10,56,"-1104,664939"
594,AMICA,100,126,"-1111,279043"
551,AMICA,90,126,"-1123,710371"
9,AMICA,5,51,"-1134,637588"
86,AMICA,15,51,"-1139,677854"
15,AMICA,5,81,"-1167,180175"
50,AMICA,10,61,"-1184,452549"
14,AMICA,5,76,"-1209,036297"
571,AMICA,95,116,"-1210,699784"
56,AMICA,10,91,"-1213,727928"
592,AMICA,100,116,"-1228,350676"
574,AMICA,95,131,"-1241,628689"
54,AMICA,10,81,"-1257,87508"
53,AMICA,10,76,"-1282,050427"
631,AMICA,110,116,"-1300,438433"
633,AMICA,110,126,"-1324,773156"
614,AMICA,105,126,"-1341,935959"
611,AMICA,105,111,"-1364,388053"
47,AMICA,10,46,"-1385,146777"
612,AMICA,105,116,"-1388,902074"
8,AMICA,5,46,"-1397,508378"
593,AMICA,100,121,"-1398,046272"
613,AMICA,105,121,"-1399,789447"
10,AMICA,5,56,"-1443,498315"
572,AMICA,95,121,"-1533,79478"
7,AMICA,5,41,"-1616,421275"
117,AMICA,20,21,"-1703,400727"
0,AMICA,5,6,"-2600,986437"
